year,month,lat,lng,probability
8,2,73,10,0.0006
8,2,73,11,0.00045
8,2,73,12,0.00032
8,2,73,16,0.00027
8,2,73,17,0.00037
8,2,73,18,0.00052
8,2,73,19,0.00069
8,2,73,20,0.00056
8,2,73,21,0.00086
8,2,73,22,0.00107
8,2,73,23,0.00242
8,2,73,24,0.00364
8,2,73,25,0.001
8,2,73,26,0.00053
8,2,73,27,0.00046
8,2,73,28,0.00128
8,2,73,29,0.00168
8,2,73,30,0.00091
8,2,73,31,0.00116
8,2,73,32,0.00104
8,2,73,33,0.002
8,2,73,34,0.00178
8,2,73,35,0.00161
8,2,73,36,0.00097
8,2,73,37,0.00248
8,2,73,38,0.00168
8,2,73,39,0.00138
8,2,73,40,0.00122
8,2,73,41,0.00074
8,2,73,42,0.00056
8,2,73,43,0.00076
8,2,73,44,0.00059
8,2,73,45,0.00138
8,2,73,46,0.00059
8,2,73,47,0.00087
8,2,73,48,0.00144
8,2,73,49,0.00072
8,2,73,50,0.00115
8,2,73,51,0.00045
8,2,73,59,0.00251
8,2,73,60,0.00368
8,2,73,61,0.00521
8,2,73,62,0.00356
8,2,73,63,0.00421
8,2,73,64,0.00555
8,2,73,65,0.00622
8,2,73,66,0.00679
8,2,73,67,0.00944
8,2,73,68,0.01466
8,2,73,69,0.00759
8,2,73,70,0.00124
8,2,73,71,0.00214
8,2,73,72,0.00289
8,2,73,73,0.0022
8,2,73,74,0.00167
8,2,73,75,0.00167
8,2,73,76,0.00108
8,2,73,77,0.00054
8,2,73,78,0.00042
8,2,73,79,0.00047
8,2,73,80,0.00066
8,2,73,82,0.00045
8,2,73,83,0.00421
8,2,73,84,0.00463
8,2,73,85,0.00684
8,2,73,304,0.00031
8,2,73,351,0.00065
8,2,73,352,0.00035
8,2,73,355,0.00062
8,2,73,356,0.00095
8,2,73,357,0.00072
8,2,73,358,0.00063
8,2,73,359,0.00087
8,2,74,4,0.00097
8,2,74,5,0.0011
8,2,74,6,0.00253
8,2,74,7,0.0015
8,2,74,8,0.00084
8,2,74,9,0.00067
8,2,74,10,0.00093
8,2,74,11,0.00082
8,2,74,12,0.00101
8,2,74,13,0.00055
8,2,74,15,0.00031
8,2,74,19,0.00033
8,2,74,20,0.00046
8,2,74,21,0.00025
8,2,74,22,0.00064
8,2,74,23,0.00079
8,2,74,24,0.00172
8,2,74,25,0.00305
8,2,74,26,0.00205
8,2,74,27,0.00071
8,2,74,28,0.00128
8,2,74,29,0.00098
8,2,74,30,0.00076
8,2,74,31,0.00025
8,2,74,32,0.00038
8,2,74,33,0.00097
8,2,74,34,0.00104
8,2,74,35,0.00266
8,2,74,36,0.00313
8,2,74,37,0.00243
8,2,74,38,0.0015
8,2,74,39,0.00166
8,2,74,40,0.00163
8,2,74,41,0.00141
8,2,74,42,0.00237
8,2,74,43,0.00427
8,2,74,44,0.00118
8,2,74,45,0.00092
8,2,74,46,0.00256
8,2,74,47,0.00159
8,2,74,48,0.0011
8,2,74,49,0.00159
8,2,74,50,0.00112
8,2,74,51,0.00079
8,2,74,52,0.00165
8,2,74,53,0.00061
8,2,74,55,0.02055
8,2,74,60,0.00077
8,2,74,61,0.00171
8,2,74,62,0.00196
8,2,74,63,0.00202
8,2,74,64,0.00185
8,2,74,65,0.00279
8,2,74,66,0.00389
8,2,74,67,0.00496
8,2,74,68,0.00472
8,2,74,69,0.00205
8,2,74,70,0.00117
8,2,74,71,0.00076
8,2,74,72,0.00069
8,2,74,73,0.00076
8,2,74,74,0.00084
8,2,74,75,0.00086
8,2,74,76,0.00093
8,2,74,77,0.0006
8,2,74,78,0.00083
8,2,74,79,0.00072
8,2,74,80,0.0011
8,2,74,81,0.0013
8,2,74,82,0.00146
8,2,74,83,0.00246
8,2,74,84,0.00388
8,2,74,85,0.00066
8,2,74,86,0.0004
8,2,74,302,0.00053
8,2,74,354,0.00228
8,2,74,355,0.00129
8,2,74,356,0.00036
8,2,74,357,0.0004
8,2,75,0,0.0005
8,2,75,3,0.00047
8,2,75,4,0.00096
8,2,75,5,0.00129
8,2,75,6,0.0017
8,2,75,7,0.00027
8,2,75,14,0.00026
8,2,75,22,0.00032
8,2,75,23,0.00055
8,2,75,24,0.00059
8,2,75,25,0.00138
8,2,75,26,0.0048
8,2,75,27,0.00071
8,2,75,28,0.00038
8,2,75,31,0.00091
8,2,75,32,0.00106
8,2,75,33,0.00074
8,2,75,34,0.0025
8,2,75,35,0.00167
8,2,75,36,0.00084
8,2,75,37,0.0006
8,2,75,38,0.00045
8,2,75,39,0.00056
8,2,75,42,0.00039
8,2,75,43,0.00129
8,2,75,44,0.00178
8,2,75,45,0.00127
8,2,75,46,0.00151
8,2,75,47,0.00121
8,2,75,48,0.0009
8,2,75,49,0.00063
8,2,75,50,0.0013
8,2,75,51,0.0011
8,2,75,52,0.00318
8,2,75,53,0.00199
8,2,75,54,0.00054
8,2,75,55,0.0004
8,2,75,56,0.00052
8,2,75,62,0.00183
8,2,75,63,0.00187
8,2,75,64,0.00423
8,2,75,65,0.00623
8,2,75,66,0.00501
8,2,75,67,0.00461
8,2,75,68,0.00405
8,2,75,69,0.00212
8,2,75,352,0.0005
8,2,75,354,0.00051
8,2,75,355,0.00041
8,2,75,356,0.00029
8,2,75,359,0.00053
8,2,76,4,0.00061
8,2,76,6,0.00143
8,2,76,9,0.00029
8,2,76,25,0.00025
8,2,76,26,0.00053
8,2,76,29,0.00456
8,2,76,31,0.00035
8,2,76,37,0.00041
8,2,76,38,0.00093
8,2,76,44,0.00032
8,2,76,45,0.00147
8,2,76,46,0.00039
8,2,76,47,0.00179
8,2,76,48,0.00031
8,2,76,49,0.00102
8,2,76,50,0.00034
8,2,76,51,0.00059
8,2,76,52,0.00054
8,2,76,53,0.00071
8,2,76,54,0.00119
8,2,76,55,0.00171
8,2,76,56,0.00319
8,2,76,57,0.00209
8,2,76,68,0.00124
8,2,76,69,0.00097
8,2,76,70,0.00053
8,2,76,71,0.00053
8,2,76,357,0.00049
8,2,76,358,0.00043
8,2,77,3,0.00064
8,2,77,4,0.00073
8,2,77,5,0.00047
8,2,77,6,0.00055
8,2,77,7,0.00036
8,2,77,43,0.00068
8,2,77,44,0.00099
8,2,77,45,0.00177
8,2,77,46,0.00201
8,2,77,48,0.00063
8,2,77,49,0.00083
8,2,77,50,0.00113
8,2,77,53,0.0004
8,2,77,54,0.00219
8,2,77,55,0.00455
8,2,77,56,0.00843
8,2,77,57,0.00827
8,2,77,58,0.00722
8,2,77,66,0.0012
8,2,77,67,0.00143
8,2,77,68,0.00192
8,2,77,357,0.00036
8,2,77,358,0.00035
8,2,77,359,0.00063
8,2,78,14,0.00051
8,2,83,18,0.00035
